Day,Slot 1,Slot 2,Slot 3,Slot 4
Day 1,"HS8.101: Making of Contemporary World
CL3.409: Evaluation Methods for NLP
CS1.403: Compilers
EC4.402: Introduction to UAV Design","SC2.101: General and Structural Chemistry
SC3.303: Advanced Bioinformatics
CS3.303: Introduction to IoT
SC2.316: Molecular Modeling and Simulations
CL1.102: Introduction to Linguistics II
CS1.505: Quantum aspects of Cryptography
CS6.301: Design and Analysis of Software Systems
SC1.308: The Universe Across Scales
EC2.103: Analog Electronic Circuits","CS8.502: Topics in Information-Theoretic Privacy
CE1.609: Analysis and Design of Bridge Structures
CS1.406: Advanced Algorithms
EC5.402: Time Frequency Analysis
CS7.401: Introduction to NLP
CS8.401: Principles of Information Security
EC5.203: Communication Theory","CS1.501: Advanced Optimization: Theory and Applications
CE5.501: Design of Hydraulic Structures
CS2.201: Computer Systems Organization
PD1.411: Product Design Workshop
CL2.404: Computational Psycholinguistics
EC2.502: Flexible Electronics
CS1.409: Quantum Algorithms"
Day 2,"EC4.501: Advances in Robotics and Control
CS8.301: Introduction to Information Security
CS7.303: Digital Signal Analysis
CS7.405: Responsible & Safe AI Systems
CL3.408: Applications of Language Models
CG3.501: Cognitive Science and AI
EC2.204: Intro to Processor Architecture","CS0.302: Computing Tools
MA2.101: Linear Algebra
CS8.402: Information Security Audit and Assurance
CS7.603: Topics in Reinforcement Learning
MA4.303: Linear partial differential equations and variational calculus
CS9.433: Hydro Informatics
CE8.401: Disaster Management","SC1.204: Thermodynamics
HS0.302: Research Methods in Human Sciences
SC2.301: Physics of Soft Condensed Matter
CS9.312: Introduction to Quantum Information and Computation
SC4.411: Machine Learning for Natural Sciences
HS3.305: Migrants and Migrations in Modern South Asia","SC1.102: Classical Mechanics
EC5.408: Speech Signal Processing
CL3.101: Computational Linguistics 1
GS2.503: Spatial Data Sciences
CG3.403: Behavioral Research: Statistical Methods
CE1.601: Earthquake Engineering
HS0.201: Thinking and Knowing in the Human Sciences-1
CS8.403: System and Network Security
CS3.404: Internals of Application Servers
EC5.102: Information and Communication
SC2.203: Biomolecular Structures
HS7.301: Science, Technology and Society
CS4.401: Data Systems
CS3.307: Performance modeling of computer systems"
Day 3,"HS3.304: The Gutenberg Parenthesis
CE1.603: Advanced Structural Analysis
HS8.102: Intro to Human Sciences
CG2.401: Cognitive Neuroscience","CL5.401: Topics in SSMT
CS1.408: Introduction to Game Theory
CS1.503: Mathematical Foundations of Data Science
CL4.407: Computer and Scripting II
EC4.403: Robotics: Planning and Navigation
SC1.111: Science II
CS6.401: Software Engineering
CG4.401: Music, Mind and Technology
CS3.401: Distributed Systems
EC2.401: Analog IC Design","CE1.608: Analysis & Design of Precast and Prestressed Structures
HS0.203a: Basics of Ethics
HS0.204: Introduction to Philosophy of Technology
HS8.202: Gender, Culture and Representation","CS7.403b: Statistical Methods in AI
CL2.204: Language Typology and Universals
CS7.403: Statistical Methods in AI
CS9.424: Technology Product Entrepreneurship"
Day 4,"CS6.201: Introduction to Software Systems
HS2.304: Sociology of Platform Economies
PD2.502: Product Lifecycle Management
HS8.303: Environmental & Social Governance in Mineral Extraction","CS7.301: Machine, Data and Learning
EC4.404: Mechatronics System Design
EC2.411: Advanced Devices
EC4.201: Mechatronics System Design-1
CS7.505: Computer Vision
CS5.401: User Interaction and Usability of Digital Products","HS1.209: Music Language Creativity
HS4.303: Digital Democracy and Data Governance in the European Union
HS0.218a: Ethics in Research
HS0.217: Ethics and the Digital Society
HS0.304: Mind, Body and Cognition
HS0.207: Science & Technology: Critical Perspectives","CS4.302: Data Visualisation
CS1.201: Data Structures and Algorithms
PD2.422: Business Finance
SC3.326: Algebraic Methods in Reaction Networks"
